code;class;message;source
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 2 error(s), first: [PARSER_STMT_FAIL] [6:12] statement parse failed near UNKNOWN('$') @6:12;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 3 error(s), first: [PARSER_STMT_FAIL] [1:17] CONST: value expression expected near UNKNOWN('{') @1:17;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 3 error(s), first: [PARSER_STMT_FAIL] [2:1] statement parse failed near OP('<') @2:1;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 3 error(s), first: [PARSER_STMT_FAIL] [3:11] missing ) in signature near IDENT('n') @3:11;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 3 error(s), first: [PARSER_STMT_FAIL] [3:5] END: unexpected arguments near IDENT('thread') @3:5;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 3 error(s), first: [PARSER_STMT_FAIL] [5:1] CLASS: duplicate CONSTRUCTOR declaration near KEYWORD('CONSTRUCTOR') @5:1;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 5 error(s), first: [PARSER_STMT_FAIL] [1:68] parameter identifier expected near EOL('') @1:68;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 5 error(s), first: [PARSER_STMT_FAIL] [5:33] statement parse failed near OP(',') @5:33;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 7 error(s), first: [PARSER_STMT_FAIL] [5:6] invalid slot kind worker near IDENT('worker') @5:6;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: parse failed with 8 error(s), first: [PARSER_STMT_FAIL] [2:8] IMPORT: expected syntax IMPORT(<LANG>, file) near IDENT('dll') @2:8;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/negative/100_preprocessor_unknown_directive.uxb:1] META_UNKNOWN_DIRECTIVE: NO_SUCH_DIRECTIVE;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/negative/95_include_cycle_a.uxb:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/cycle_a.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/13_include_header_math.uxb:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/math_aliases.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/14_include_nested.uxb:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/nested_constants.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/32_winapi_messagebox_decl.bas:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/gui_winapi.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/33_science_math_dll_routes.bas:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/science_routes.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/35_matrix_dll_routes.bas:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/science_routes.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/36_tensor_nn_routes.bas:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/science_routes.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/37_llama_onnx_routes.bas:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/science_routes.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/41_preprocessor_loops.uxb:6] META_UNKNOWN_DIRECTIVE: ENDFOREACH;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/45_gui_winapi_surface.bas:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/gui_winapi.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/61_preprocessor_foreach_ifn_elif.uxb:13] META_UNKNOWN_DIRECTIVE: ENDFOREACH;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/62_plain_include_visibility.uxb:1] LEX_INCLUDE_FAILED: tests/adim36_full_surface/includes/adim42_inc_math.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/adim36_full_surface/positive/67_preprocessor_foreach_adim42.uxb:4] META_UNKNOWN_DIRECTIVE: ENDFOREACH;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests/full_layer/negative/93_unsafe_include.uxb:1] LEX_UNSAFE_INCLUDE_PATH: ..\secret.bas;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests\adim30_10step\negative\92_include_cycle_b.uxb:1] LEX_INCLUDE_CYCLE: tests\adim30_10step\negative\92_include_cycle_a.uxb;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests\adim36_full_surface\includes\cycle_b.uxbh:1] LEX_INCLUDE_CYCLE: tests\adim36_full_surface\includes\cycle_a.uxbh;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: preprocess fail [tests\full_layer\negative\92_include_cycle_b.uxb:1] LEX_INCLUDE_CYCLE: tests\full_layer\negative\92_include_cycle_a.uxb;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][PARSER] UXB_PARSER_FAILED: unknown type: PTR;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: assign: left side is not writable: CALL_EXPR;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: missing type at ast=1 kind=DIM_STMT;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: missing type at ast=2 kind=DIM_DECL;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
;;[WARN][SEMANTIC] UXB_SEMANTIC_FAILED: semantic-step3: SEM_E_INVALID_SLOT_RANGE: slot index out of range: 300;C:\Users\mete\Downloads\BasicOyunSource\UXBc_Clean\UXBc\uxb\dist\compiler_messages.log
