opcode,opcode_group,result_type,operand_count,operand_types,has_side_effect,requires_layout,requires_runtime,requires_external,x64_supported,js_supported,wasm_supported,browser_supported,verify_rule,json_supported,status,required_action
REDIM,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
RET,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
ROL,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
ROR,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
SETSTRINGSIZE,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
SHL,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
SHR,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
STORE_INDEXED,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
STORE_VAR,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
SUB,MIR_ARITH,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
XOR,MIR_META,TYPE_UNKNOWN,variable,dynamic,NO,NO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,missing_verify_rule,YES,BROKEN,ADD_VERIFY_RULE
