category,item,lexer,parser,ast,semantic,hir,mir,ast_interpreter,mir_interpreter,x64_ast,x64_mir,runtime,tests,docs
statements,PUBLIC,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,PUT,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,missing,implemented,implemented,missing
statements,RANDOMIZE,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,diagnostic_only,diagnostic_only,implemented,diagnostic_only
statements,READONLY,partial,partial,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,REDIM,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,RESTRICTED,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,RETURN,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,partial
statements,RND,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,diagnostic_only
statements,ROL,partial,implemented,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,partial
statements,ROR,partial,implemented,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,partial,diagnostic_only
statements,RTRIM,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,partial,partial,missing
statements,SADD,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,missing
statements,SEALED,partial,implemented,missing,partial,missing,missing,missing,missing,missing,missing,missing,implemented,missing
statements,SEEK,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,missing,implemented,implemented,missing
statements,SELECT,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,SET,partial,implemented,partial,implemented,partial,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,SETNEWOFFSET,partial,implemented,missing,partial,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,implemented,missing
statements,SETSTRINGSIZE,partial,implemented,missing,implemented,missing,partial,diagnostic_only,missing,missing,diagnostic_only,diagnostic_only,implemented,diagnostic_only
statements,SGN,partial,implemented,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,diagnostic_only
statements,SHL,partial,implemented,partial,implemented,missing,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,SHR,partial,implemented,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,partial,partial,diagnostic_only
statements,SIHIRLIMETOT,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,missing,partial,missing
statements,SIN,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,SIZEOF,partial,implemented,missing,partial,missing,missing,diagnostic_only,diagnostic_only,missing,missing,implemented,implemented,missing
statements,SLOT,partial,implemented,missing,implemented,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,partial
statements,SPACE,partial,implemented,missing,partial,missing,missing,missing,missing,diagnostic_only,missing,partial,implemented,missing
statements,SQR,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
statements,SQRT,partial,implemented,missing,missing,missing,missing,missing,missing,missing,missing,missing,partial,missing
statements,STATIC,partial,partial,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,missing,missing,diagnostic_only,implemented,diagnostic_only
statements,STDCALL,partial,implemented,missing,partial,missing,partial,missing,diagnostic_only,missing,missing,partial,implemented,missing
statements,STEP,implemented,implemented,implemented,implemented,partial,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,implemented,missing
statements,STR,implemented,implemented,implemented,implemented,missing,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,missing,implemented,implemented,missing
statements,STRING,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,missing
statements,STRPTR,partial,implemented,missing,diagnostic_only,missing,missing,diagnostic_only,diagnostic_only,missing,missing,partial,implemented,missing
statements,SUB,implemented,implemented,implemented,implemented,partial,partial,diagnostic_only,diagnostic_only,diagnostic_only,diagnostic_only,implemented,implemented,diagnostic_only
statements,TAN,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,implemented,missing
