keyword,token,category,lexer,parser,ast,semantic,hir,mir,interpreter_ast,interpreter_mir,x64_codegen_ast,x64_codegen_mir,x86_codegen,runtime,ffi,tests,docs
OFF,,unknown,implemented,implemented,missing,implemented,missing,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,partial,implemented,missing
OFFSETOF,,unknown,partial,partial,missing,implemented,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
ON,,unknown,implemented,implemented,partial,implemented,missing,diagnostic_only,partial,missing,diagnostic_only,missing,missing,implemented,missing,implemented,diagnostic_only
OP,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,missing,implemented,partial,implemented,partial
OPEN,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,missing,partial,diagnostic_only,partial,implemented,implemented,implemented,diagnostic_only
OPERATOR,,unknown,partial,partial,partial,partial,missing,missing,partial,missing,diagnostic_only,missing,missing,partial,missing,implemented,missing
OR,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,diagnostic_only
OVERRIDE,,unknown,partial,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
PARALEL,,unknown,partial,implemented,missing,implemented,missing,missing,partial,diagnostic_only,partial,missing,missing,partial,missing,implemented,missing
PARALLEL,,unknown,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,diagnostic_only,missing
PEEKB,,unknown,partial,partial,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
PEEKD,,unknown,partial,partial,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
PEEKW,,unknown,partial,partial,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
PIPE,,unknown,partial,implemented,missing,implemented,missing,diagnostic_only,partial,diagnostic_only,partial,diagnostic_only,missing,partial,missing,implemented,missing
POKE,,unknown,partial,implemented,missing,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing
POKEB,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
POKED,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
POKES,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
POKEW,,unknown,partial,implemented,missing,implemented,missing,missing,diagnostic_only,missing,diagnostic_only,missing,missing,diagnostic_only,missing,implemented,missing
PRINT,,unknown,partial,implemented,implemented,implemented,partial,diagnostic_only,partial,missing,partial,diagnostic_only,partial,implemented,implemented,implemented,partial
PRIVATE,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,missing
PROPERTY,,unknown,partial,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
PROTECTED,,unknown,partial,partial,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,partial,missing
PTR,,unknown,partial,implemented,partial,implemented,missing,partial,implemented,diagnostic_only,diagnostic_only,missing,missing,implemented,missing,implemented,missing
PUBLIC,,unknown,partial,partial,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
PUT,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,partial,missing,partial,missing,missing,implemented,missing,implemented,missing
RANDOMIZE,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,diagnostic_only,missing,diagnostic_only,missing,implemented,diagnostic_only
READONLY,,unknown,partial,diagnostic_only,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
REDIM,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,partial,diagnostic_only,partial,implemented,implemented,implemented,diagnostic_only
RESTRICTED,,unknown,partial,partial,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
RETURN,,unknown,implemented,implemented,implemented,implemented,partial,partial,implemented,diagnostic_only,implemented,diagnostic_only,implemented,implemented,implemented,implemented,partial
RND,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,diagnostic_only
ROL,,unknown,partial,partial,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,partial
ROR,,unknown,partial,partial,missing,implemented,missing,partial,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,partial,diagnostic_only
RTRIM,,unknown,partial,partial,missing,partial,missing,missing,partial,missing,diagnostic_only,missing,missing,partial,missing,partial,missing
SADD,,unknown,partial,implemented,missing,missing,missing,missing,diagnostic_only,missing,missing,missing,missing,diagnostic_only,missing,implemented,missing
SEALED,,unknown,partial,partial,missing,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,implemented,missing
SEEK,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,partial,missing,partial,missing,missing,implemented,missing,implemented,missing
SELECT,,unknown,implemented,implemented,implemented,implemented,partial,diagnostic_only,implemented,diagnostic_only,implemented,diagnostic_only,partial,implemented,implemented,implemented,missing
SET,,unknown,partial,partial,partial,implemented,partial,diagnostic_only,implemented,missing,diagnostic_only,diagnostic_only,missing,implemented,partial,implemented,missing
SETNEWOFFSET,,unknown,partial,implemented,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
SETSTRINGSIZE,,unknown,partial,implemented,missing,implemented,missing,partial,diagnostic_only,missing,missing,diagnostic_only,missing,diagnostic_only,missing,implemented,diagnostic_only
SGN,,unknown,partial,partial,missing,partial,missing,missing,diagnostic_only,missing,diagnostic_only,diagnostic_only,missing,diagnostic_only,missing,implemented,diagnostic_only
SHL,,unknown,partial,partial,partial,implemented,missing,partial,partial,diagnostic_only,partial,diagnostic_only,missing,implemented,missing,implemented,diagnostic_only
SHR,,unknown,partial,partial,missing,implemented,missing,partial,diagnostic_only,missing,partial,diagnostic_only,missing,partial,missing,partial,diagnostic_only
SIHIRLIMETOT,,unknown,partial,diagnostic_only,missing,partial,missing,missing,missing,missing,missing,missing,missing,missing,missing,partial,missing
SIN,,unknown,partial,partial,missing,partial,missing,diagnostic_only,diagnostic_only,missing,partial,missing,missing,diagnostic_only,missing,implemented,missing
SIZEOF,,unknown,partial,partial,missing,partial,missing,missing,partial,diagnostic_only,missing,missing,missing,partial,missing,implemented,missing
