ast_node,surface_name,semantic_status,type_status,layout_status,lowering_handler,lowering_decision,mir_opcode_sequence,requires_runtime,requires_external,target_x64,target_js,target_wasm,verify_rule,status,required_action
DECLARE_FUNCTION_STMT,DECLARE_FUNCTION_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DECLARE_SUB_STMT,DECLARE_SUB_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DEFTYPE_STMT,DEFTYPE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DELETE_STMT,DELETE_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DIM_BOUNDS,DIM_BOUNDS,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
DIM_DECL,DIM_DECL,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DIM_STMT,DIM_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DO_EACH_STMT,DO_EACH_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
DO_STMT,DO_STMT,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_TO_MIR,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,IMPLEMENTED,NONE
EACH_BODY,EACH_BODY,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,MIRLower*,LOWER_MISSING,AUTO,NO,NO,IMPLEMENTED,IMPLEMENTED,IMPLEMENTED,UXBMIRVerifyModule,BROKEN,ADD_LOWERING
