id,surface_name,layer,status
UXB-SURFACE-024,MAGIC,x86_status,MISSING
UXB-SURFACE-024,MAGIC,library_binding_status,MISSING
UXB-SURFACE-025,MID,type_binding_status,MISSING
UXB-SURFACE-025,MID,vscode_evidence_status,MISSING
UXB-SURFACE-026,MIXIN,ast_contract_status,MISSING
UXB-SURFACE-026,MIXIN,type_binding_status,MISSING
UXB-SURFACE-026,MIXIN,layout_status,MISSING
UXB-SURFACE-026,MIXIN,hir_status,MISSING
UXB-SURFACE-026,MIXIN,mir_status,MISSING
UXB-SURFACE-026,MIXIN,mir_verify_status,MISSING
UXB-SURFACE-026,MIXIN,mir_json_status,MISSING
UXB-SURFACE-026,MIXIN,mir_interpreter_status,MISSING
UXB-SURFACE-026,MIXIN,x64_ast_status,MISSING
UXB-SURFACE-026,MIXIN,x86_status,MISSING
UXB-SURFACE-026,MIXIN,library_binding_status,MISSING
UXB-SURFACE-027,OFF,semantic_status,MISSING
UXB-SURFACE-027,OFF,hir_status,MISSING
UXB-SURFACE-027,OFF,mir_verify_status,MISSING
UXB-SURFACE-027,OFF,mir_json_status,MISSING
UXB-SURFACE-027,OFF,x86_status,MISSING
UXB-SURFACE-029,OVERRIDE,type_binding_status,MISSING
UXB-SURFACE-029,OVERRIDE,layout_status,MISSING
UXB-SURFACE-029,OVERRIDE,hir_status,MISSING
UXB-SURFACE-029,OVERRIDE,mir_status,MISSING
UXB-SURFACE-029,OVERRIDE,mir_verify_status,MISSING
UXB-SURFACE-029,OVERRIDE,mir_json_status,MISSING
UXB-SURFACE-029,OVERRIDE,mir_interpreter_status,MISSING
UXB-SURFACE-029,OVERRIDE,x86_status,MISSING
UXB-SURFACE-029,OVERRIDE,library_binding_status,MISSING
UXB-SURFACE-030,PARALEL,ast_contract_status,MISSING
UXB-SURFACE-030,PARALEL,type_binding_status,MISSING
UXB-SURFACE-030,PARALEL,layout_status,MISSING
UXB-SURFACE-030,PARALEL,mir_status,MISSING
UXB-SURFACE-030,PARALEL,mir_verify_status,MISSING
