surface_id,surface_name,backend,status,recommended_step
UXB-SURFACE-169,MEMCOPYW,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-170,MEMFILLB,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-170,MEMFILLB,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-171,MEMFILLD,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-171,MEMFILLD,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-172,MEMFILLW,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-172,MEMFILLW,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-173,OFFSETOF,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-173,OFFSETOF,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-174,PEEKB,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-174,PEEKB,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-174,PEEKB,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-174,PEEKB,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-175,PEEKD,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-175,PEEKD,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-175,PEEKD,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-175,PEEKD,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-176,PEEKW,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-176,PEEKW,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-176,PEEKW,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-176,PEEKW,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-177,POKE,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-178,POKEB,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-178,POKEB,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-179,POKED,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-179,POKED,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-180,POKES,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-180,POKES,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-181,POKEW,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-181,POKEW,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-182,SADD,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-182,SADD,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-183,SETNEWOFFSET,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-183,SETNEWOFFSET,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-184,SIZEOF,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-184,SIZEOF,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-185,VARPTR,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-185,VARPTR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-187,%,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-187,%,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-188,%=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-188,%=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-191,(,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-191,(,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-194,*=,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-194,*=,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-196,++,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-196,++,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-200,--,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-200,--,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-201,-=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-201,-=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-204,/=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-204,/=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-207,<<,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-207,<<,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-208,<<=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-208,<<=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-208,<<=,js,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-209,<=,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-214,>>,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-214,>>,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-215,>>=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-215,>>=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-215,>>=,js,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-216,@,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-216,@,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-216,@,js,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-218,MOD,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-221,ROL,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-222,ROR,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-223,SHL,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-224,SHR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-225,XOR,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-226,[,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-227,\,x64,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-228,\=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-228,\=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-230,^,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-230,^,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-231,^=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-231,^=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-231,^=,js,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-232,|,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-233,|=,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-233,|=,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-233,|=,js,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-235,CLASS,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-236,CONSTRUCTOR,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-238,DELETE,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-239,DESTRUCTOR,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-241,IMPLEMENTS,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-242,INTERFACE,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-243,METHOD,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-244,NEW,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-245,OPERATOR,x86,MISSING,KEEP_GATE_COVERAGE
UXB-SURFACE-246,PROPERTY,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-249,BALL,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-249,BALL,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-250,BIGD,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-250,BIGD,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-251,BIGF,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-251,BIGF,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-252,BOOLEAN,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-252,BOOLEAN,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-254,F128,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-254,F128,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-255,F32,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-255,F32,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-256,F64,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-256,F64,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-257,F80,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-257,F80,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-258,I16,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-258,I16,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-258,I16,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-258,I16,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-259,I32,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-259,I32,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-260,I64,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-260,I64,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-260,I64,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-261,I8,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-261,I8,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-261,I8,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-261,I8,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-262,OBJECT,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-262,OBJECT,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-265,U16,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-265,U16,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-265,U16,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-265,U16,wasm,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-266,U32,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-266,U32,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-267,U64,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-267,U64,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-268,U8,x64,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-268,U8,x86,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-268,U8,wat,MISSING,ADD_AST_CONTRACT
UXB-SURFACE-268,U8,wasm,MISSING,ADD_AST_CONTRACT
