surface_id,surface_name,blocker_code,reason,recommended_step,evidence_file
UXB-SURFACE-241,IMPLEMENTS,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_core.fbs
UXB-SURFACE-246,PROPERTY,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_decl_class_method.fbs
UXB-SURFACE-249,BALL,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-250,BIGD,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-251,BIGF,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-252,BOOLEAN,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-253,BYTE,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_stmt_event_pipe.fbs
UXB-SURFACE-254,F128,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-255,F32,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-256,F64,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-257,F80,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-258,I16,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-259,I32,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-260,I64,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-261,I8,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-262,OBJECT,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-265,U16,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-266,U32,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-267,U64,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
UXB-SURFACE-268,U8,BROKEN,final_decision=BROKEN,ADD_AST_CONTRACT,src/parser/parser/parser_shared.fbs
