"path","kind","extension","purpose_tr","canonical_status","has_delete_risk","notes"
"tools/uxb_expected_runner.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_extfp_codegen_audit.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_final_gap_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_final_merge.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_ide_command_contract.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_js_transpiler_wasm_backend.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_json_to_js.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_json_to_wasm.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_keyword_layer_decision_gate.py","TOOL",".py","keyword_layer_gate","FALLBACK","HAYIR",""
"tools/uxb_keyword_layer_matrix.py","TOOL",".py","keyword_layer_matrix","FALLBACK","HAYIR",""
"tools/uxb_keyword_single_source_gate.py","TOOL",".py","keyword_layer_gate","ADAY","HAYIR",""
"tools/uxb_language_surface_full_matrix.py","TOOL",".py","surface_lifecycle_matrix","ADAY","HAYIR",""
"tools/uxb_language_surface_matrix.py","TOOL",".py","surface_lifecycle_matrix","ADAY","HAYIR",""
"tools/uxb_layer_gate.py","TOOL",".py","layer_gate","ADAY","HAYIR",""
"tools/uxb_layer_status_policy.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_library_ide_contract_extend.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_library_importer.py","TOOL",".py","diger","ADAY","EVET","TEHLIKELI_ISLEM_VAR;SILME_RISKI_VAR;KANONIK_TEMIZLIK_ARACI_OLAMAZ;ANCAK_MEVCUT_ARAC_ENVANTERINDE_KALIR"
"tools/uxb_library_runtime_builder.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_library_smoke_runner.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_localhost_bridge.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_mir_x64_prompt3_audit.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_mir_x64_surface_audit.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_prior_step_gap_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_project_output_manager.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_release_gate.py","TOOL",".py","release_gate","ADAY","HAYIR",""
"tools/uxb_stage4_source_artifact_audit.py","TOOL",".py","workspace_cleaning","ADAY","HAYIR",""
"tools/uxb_step2_mir_lowering_cli_audit.py","TOOL",".py","compiler_layer_audit_or_gate","ADAY","HAYIR",""
"tools/uxb_step4_type_class_ffi_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_step5_fp_completion_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_step7_gate_compose.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_surface_to_browser_contract.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_test_matrix_linker.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_toolchain_doctor.py","TOOL",".py","toolchain_diagnostics","ADAY","HAYIR",""
"tools/uxb_vscode_contract_audit.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxb_workspace_clean_guard.py","TOOL",".py","workspace_cleaning","KANONIK","HAYIR",""
"tools/uxbc_baseline_runner.py","TOOL",".py","diger","ADAY","HAYIR",""
"tools/uxbc_clean_artifacts.py","TOOL",".py","workspace_cleaning","FALLBACK","EVET","TEHLIKELI_ISLEM_VAR;SILME_RISKI_VAR;KANONIK_TEMIZLIK_ARACI_OLAMAZ;ANCAK_MEVCUT_ARAC_ENVANTERINDE_KALIR"
"tools/uxbc_doctor.py","TOOL",".py","toolchain_diagnostics","ADAY","HAYIR",""
